"Column3","Column2","Column4","Column1","Modnames","AICc","Delta_AICc","LL","AdjR2","FStatistic","Pval"
"Disturbed","Fish (Trait)","Cmin","2","3",38.6551356492786,0,-12.019875516947,0.292232183861874,3.4773563634731,0.0427266107053743
"Disturbed","Fish (Trait)","Cmin","2","1",39.6594871490695,1.00435149979089,-16.0297435745348,0.0475436033766774,1.89850292760293,0.186114386456665
"Disturbed","Fish (Trait)","Cmin","2","2",40.5782397100215,1.92310406074284,-14.8605484264393,0.105203984672912,2.05815833534987,0.160166672085304
"Disturbed","Fish (Trait)","Cmin","2","4",42.7866991584868,4.13156350920815,-11.8933495792434,0.251710116017346,2.51371219406237,0.0888025867720507
"Undisturbed","Fish (Trait)","Cmin","2","4",31.7582733892712,0,-6.3791366946356,0.436868948931145,4.49103510889471,0.0152566731412784
"Undisturbed","Fish (Trait)","Cmin","2","3",32.8042405857953,1.04596719652414,-9.09442798520536,0.300518295828089,3.57777975351502,0.0393658992984816
"Undisturbed","Fish (Trait)","Cmin","2","1",35.6350458742981,3.87677248502693,-14.0175229371491,-0.0362845181011178,0.36974709704542,0.551180221124171
"Undisturbed","Fish (Trait)","Cmin","2","2",35.7010226756634,3.94274928639222,-12.4219399092603,0.0691803611448769,1.66889784477442,0.219636301359258
"Disturbed","Fish (Trait)","Cmax","0","1",47.3153519989175,0,-19.8576759994587,-0.0268161336675785,0.529915444265233,0.47655022753198
"Disturbed","Fish (Trait)","Cmax","0","2",48.8631554744614,1.54780347554394,-19.0030063086593,0.00287358964655804,1.02593683865003,0.380874217595815
"Disturbed","Fish (Trait)","Cmax","0","3",49.3770627388959,2.06171073997837,-17.3808390617556,0.103353559378853,1.69160075608345,0.211444925924995
"Disturbed","Fish (Trait)","Cmax","0","4",52.7461277225578,5.43077572364035,-16.8730638612789,0.0893082485772194,1.44129873579026,0.272093188768499
