"Taxa","Coverage","Orderq","Model","Term","Estimate","Std. Error","t value","Pr(>|t|)"
"Fish","Cmax","0","time_pred","Session",0.0297031495725364,0.0487250558761802,0.609607296254679,0.545405999796011
"Fish","Cmax","0","GroupUndisturbed:time_pred","Session (Undisturbed)",-0.0734457041196102,0.0689076348474809,-1.06585727811111,0.292577206365509
"Fish","Cmax","2","(Intercept)","Intercept",10.3373437210775,0.28884241543984,35.788870223011,4.2753612186632e-33
"Fish","Cmax","2","GroupUndisturbed","Group (Undisturbed)",-0.926562394966781,0.408484861303626,-2.26829065833622,0.0285142924885722
"Fish","Cmax","2","time_pred","Session",0.0294502672872466,0.0134986420078749,2.18172074421011,0.034776856176763
"Fish","Cmax","2","GroupUndisturbed:time_pred","Session (Undisturbed)",-0.0404791118627981,0.0190899626011559,-2.12043955813445,0.0399175811772881
"FishTrait","Cmin","0","(Intercept)","Intercept",7.82070888511839,0.216757044973611,36.0805291752825,3.07244732519467e-33
"FishTrait","Cmin","0","GroupUndisturbed","Group (Undisturbed)",-0.91071774302256,0.306540752741596,-2.97095161043813,0.00489403354201489
"FishTrait","Cmin","0","time_pred","Session",0.023313002269403,0.0101298341115452,2.30141994554803,0.0263974973196137
"FishTrait","Cmin","0","GroupUndisturbed:time_pred","Session (Undisturbed)",-0.0207116184556752,0.0143257487851369,-1.44576166777151,0.155665274165249
"FishTrait","Cmin","2","(Intercept)","Intercept",7.33327379146619,0.168428911945014,43.539281390479,1.40486392718218e-36
"FishTrait","Cmin","2","GroupUndisturbed","Group (Undisturbed)",-0.975760392615765,0.238194451568383,-4.09648665697671,0.000187135271233718
"FishTrait","Cmin","2","time_pred","Session",0.0222647338656928,0.00787128712609442,2.82860141029312,0.00713655164287128
"FishTrait","Cmin","2","GroupUndisturbed:time_pred","Session (Undisturbed)",-0.0158056248842312,0.0111316810070555,-1.41987763341523,0.163023833559926
"FishTrait","Cmax","0","(Intercept)","Intercept",7.92780492120571,0.270988759997036,29.2551060837078,1.47398101711687e-29
"FishTrait","Cmax","0","GroupUndisturbed","Group (Undisturbed)",-0.698618395328507,0.383235979638475,-1.8229457369518,0.075435043615621
"FishTrait","Cmax","0","time_pred","Session",0.0296071201974936,0.0126642766568326,2.33784534243573,0.0242333938924134
"FishTrait","Cmax","0","GroupUndisturbed:time_pred","Session (Undisturbed)",-0.0308672883753052,0.0179099918057377,-1.72346747615019,0.0921594989438756
"FishTrait","Cmax","2","(Intercept)","Intercept",7.35881990670481,0.171084730172573,43.0127218208308,2.31642531250046e-36
"FishTrait","Cmax","2","GroupUndisturbed","Group (Undisturbed)",-0.947526566493232,0.241950345724995,-3.91620257311063,0.000324623843015831
"FishTrait","Cmax","2","time_pred","Session",0.0228100602587878,0.00799540303696997,2.8528968650256,0.00669609207251489
"FishTrait","Cmax","2","GroupUndisturbed:time_pred","Session (Undisturbed)",-0.0161893216404365,0.011307207411522,-1.43177011363033,0.159609839598177
